N;Názov Online Kurzu;"Cena Po Zľave";"Normálna Cena";Kategória;Popis
52;Online kurz Copywriting II. Mierne Pokročilý;78;102,7;Marketing, Reklama a Právo;Online kurz Copywriting II. Mierne Pokročilý je pre teba vhodný, ak máš skúsenosti s tvorbou a úpravou obsahu. Alebo si absolvoval kurz Copywriting I. Začiatočník. Osvojíš si správnu tvorbu pútavých nadpisov a komentárov. Zoznámime ťa s užitočnými tipmi pri práci so SEO a sociálnymi sieťami. Naučíme ťa efektívne navrhovať kľúčové slová a pracovať s RSS čítačkami. Ako absolvent kurzu Copywriting II. Mierne Pokročilý zvládneš písať vlastné PR články a inzeráty.
53;Online kurz CorelDraw I. Začiatočník;61;80,6;Grafika a Dizajn;Online kurz CorelDraw I. Začiatočník je pre teba vhodný, ak si začiatočník a chceš sa naučiť pracovať v CorelDraw. Zoznámime ťa s používateľským prostredím a jeho nástrojmi. Patrí k jedným z najpoužívanejších programov na tvorbu a úpravu vektorovej grafiky. Osvojíš si základné úpravy s fotografiami a prácu s efektmi. Naučíme ťa pracovať s vektormi, vrstvami, maskami či kompresiou. Ako absolvent online kurzu CorelDraw I. Začiatočník hravo zvládneš upravovať obrázky a fotky.
54;Online kurz Datamining a Business Intelligence I. Začiatočník;123;161,2;Databázy a Analytika;Online kurz Datamining a Business Intelligence I. Začiatočník je určený všetkým ľuďom, ktorí by si chceli zvýšiť znalosti v oblasti business intelligence. Na online kurze Datamining a Business Intelligence ťa zasvätíme do práce s dátami v organizáciách a ako aj s ich biznis stratégiami. Povieme si, prečo je potrebné modelovať dáta, čo sú to dimenzie a tabuľky faktov. Po absolvovaní tohto online kurzu sa budeš orientovať v projektovej dátovej dokumentácií, pracovnej deklarácii, ale aj projektových zdrojoch.
55;Online kurz Datamining a Business Intelligence II. Mierne Pokročilý;154;201,5;Databázy a Analytika;Online kurz Datamining a business intelligence II. Mierne Pokročilý je vhodný pre absolventov kurzu Datamining a business intelligence I. Začiatočník alebo pre všetkých, ktorí majú aspoň základné vedomosti z datamining problematiky. Naučíme ťa narábať s podnikovými dátovými modelmi, ako aj architektúrou dátového skladu a jeho komponentmi. Naučíš sa nové dátové pojmy ako profilovanie, záznam, distribúcia či kvalita dát a nástroje ETL. Rovnako ti objasníme plánovanie projektov a metodiky. Po absolvovaní kurzu budeš zvládať všetky pracovné scenáre, analýzu pre dokončenie projektov a správu dát.
56;Online kurz Design Thinking;127;167,5;Marketing, Reklama a Právo;Na online kurze Design Thinking sa naučíš ako aplikovať dizajnérske myslenie na vaše problémy s cieľom vytvárať inovatívne riešenia zamerané na používateľa. Využiť praktické metódy na návrh dizajnu v každej fáze tvojho problému pomocou šablón metód. Používať etnografické a analytické metódy, ako sú rozhovory, cieľové skupiny a prieskumy.
57;Online kurz Digitálny Marketing;146;199;Marketing, Reklama a Právo;Online kurz Digitálny marketing zastrešuje témy ako PPC reklama, SEO, bannerová reklama, sociálne siete, platená reklama na Facebooku či Instagrame, video reklama, Youtube či mailing listy alebo copywriting. Správna reklama na internete môže významne pomôcť pri štarte novej firmy, môže pomôcť rozbehnutej firme alebo značke zvýšiť, či optimalizovať výkony, a tiež jej môže pomôcť v kríze prežiť.
58;Online kurz E-business a E-marketing;146;199;Marketing, Reklama a Právo;Online kurz E-business a E-marketing získaš odpovede na to, ako začať úspešne podnikať a ako tvoje podnikanie posunúť čo najďalej. Povieme si ako najefektívnejšie získavať nových zákazníkov a akú rolu hrajú brand, firemná kultúra či hodnoty firmy.
59;Online kurz Enterprise Architect I. Začiatočník;224;309,99;Programovacie Jazyky;Online kurz Enterprise Architect ťa naučí pracovať s Enterprise Architect. Budeš schopný analyzovať a tvoriť návrhy v jazykoch UML, BPMN a ďalších jazykov. Zahŕňa vývoj softvéru od zhromažďovania požiadaviek až po fázy analýzy, návrhové modely, testovanie a údržbu. Naučíš sa o vizuálne modelovacích nástrojoch na plánovanie, navrhovanie a dokumentovanie kolaboratívnych obchodných architektúr.
60;Online kurz Enterprise Architect, UML a ArchiMate;154;201,5;Programovacie Jazyky;Online kurz Enterprise Architect, UML a ArchiMate je zameraný na praktické osvojenie si nástroja Enterprise Architect (EA). Cieľom je zoznámiť účastníkov s funkciami nástroja Enterprise Architect, ktoré môžu efektívne využiť pri tvorbe analytických a návrhových modelov v jazyku UML, BPMN a Archimate. Online kurz je vhodný aj pre úplných začiatočníkov, ktorí nemajú s nástrojom Enterprise Architect žiadne skúsenosti. ArchiMate je nevyhnutný vizualizačný nástroj v EA pre návrh enterprise architektúry podľa metodiky TOGAF.
61;Online kurz Facebook Marketing I. Začiatočník;56;74,1;Marketing, Reklama a Právo;Online kurz Facebook Marketing I. Začiatočník je pre teba ako stvorený, ak sa chceš naučiť získavať nových klientov, zlepšiť kampane a zvyšovať počet konverzií. Naučíme ťa naplánovať stratégie, vyhodnotiť ich úspešnosť a pracovať so špecifickými aplikáciami marketingu na Facebooku. Zvládneš pripravovať príspevky, stanovovať ciele projektu a ovládať vlastnú propagáciu.
62;Online kurz Facebook Marketing II. Mierne Pokročilý;73;96,2;Marketing, Reklama a Právo;Online kurz Facebook Marketing II. Mierne Pokročilý je určený pre teba, ak máš skúsenosti s Facebook marketingom alebo si absolvovali kurz Facebook Marketing I. Začiatočník. Osvojíš si tvorbu dopytov, posudzovanie výsledkov inzerátu, analýzu a úpravu kampane. Kontrola a zdokonalenie ovládacieho panelu bude pre teba samozrejmosťou. Naučíme ťa pokročilú taktiku a integráciu kampaní, analýzu dát a revíziu reklamných výdavkov a taktík. Ako absolvent online kurzu Facebook Marketing si hravo zvládneš prispôsobiť používateľské rozhranie.
63;Online kurz Finančný Manažment;127;167,5;Manažérske Kurzy;Online kurz Finančný Manažment je určený pre majiteľov, manažérov a finančných riaditeľov. Nezaoberá sa účtovníctvom, ale tým, ako zaobchádzať s peniazmi, ako ich správne rozdeliť medzi jednotlivé časti firmy a ako vytvárať rezervy a majetok. Vďaka tomu si vybuduješ kredit solventnej a stabilnej firmy v akýchkoľvek trhových podmienkach.
64;Online kurz Fotografie a Retušovanie I. Začiatočník;68;90;Grafika a Dizajn;Online kurz Fotografie a Retušovanie I. Začiatočník je určený pre teba, ak sa chceš naučiť upravovať fotografie. Osvojíš si teóriu fotografií a možnosti ich úprav. Naučíme ťa pracovať s maskami a vrstvami, meniť farby a používať nástroje na retušovanie. Zvládneš vhodne využívať raw formát.
65;Online kurz Fuckupy a Faily v Marketingu, Reklame;119;165,2;Marketing, Reklama a Právo;Online kurz Fuckupy a Faily v Marketingu, Reklame ťa prevedie marketingovými chybami, ktoré ti môžu brániť v tvojom úspechu. Pozrieme sa spoločne na najčastejšie typy chýb v online marketingu. Naučíme ťa opraviť najčastejšie chyby v Google Ads, Facebook a iných reklamných systémoch a hneď vieš získať väčší a relevantnejší záujem ľudí. To môže následne viesť k zvýšeniu povedomia o značke alebo zvýšenému predaju.
66;Online Kurz GIMP I. Začiatočník;67;88,4;Grafika a Dizajn;Online kurz GIMP I. Začiatočník je pre teba ako stvorený, ak sa chceš naučiť upravovať obrázky a tvoriť rastrovú grafiku. Oboznámime ťa s inštaláciou, orientáciou a základnými operáciami v súvislosti s programom GIMP. Naučíme ťa všetky potrebné formy vzorov – ľanový, papierový, brúsený kov, opona, ale aj iné bizarné vzory. Budeme tiež pracovať so štetcom. Ako absolvent kurzu GIMP I. Začiatočník zvládneš pracovať s textovým nástrojom a tretím rozmerom, do ktorého zaraďujeme plastickú mapu či ohýbanie reality.
67;Online kurz Git a GitHub I. Začiatočník;114;149,99;Programovacie Jazyky;Online kurz Git a GitHub I. Začiatočník je pre teba ideálnou voľbou, ak sa chceš naučiť používať verziovacie nástroje. Naučíme ťa nástroj Git nainštalovať a nakonfigurovať. Pracovať so súbormi a ich sledovaním bude pre teba samozrejmosťou. Orientovať sa budeš tiež v revíziách, ich vytváraní a určovaní pravidiel. Naučíme ťa, čo je to Root commit a aké sú commit message pravidlá. Ako absolvent online kurzu Git a GitHub zvládneš pracovať s vetvami a ich výpismi.
68;Online kurz Google Ads (AdWords) - Analýza Kľúčových Slov;48;62,4;Marketing, Reklama a Právo;Online kurz Google Ads (AdWords) Analýza Kľúčových Slov je pre teba ideálny ak sa potrebuješ naučiť nájsť tie správne slová do svojich PPC kampaní. Jednou z najdôležitejších vecí pri vytváraní reklamných kampaní v Google Ads (AdWords) je analýza kľúčových slov. Naučíme ťa viacero spôsobom, ktorými je možné zistiť tie správne kľúčové slová. Analýza kľúčových slov ti pomôže aj pri návrhu štruktúry webu. Ukážeme ti ako sa taká analýza robí a aké výsledky by ti mala priniesť.
69;Online kurz Google Ads (AdWords) I. Začiatočník;56;74,1;Marketing, Reklama a Právo;Online kurz Google Ads (AdWords) I. Začiatočník je určený pre teba, ak sa chceš naučiť vytvárať kampane v Google Ads (AdWords). Naučíme ťa správne vyberať a používať kľúčové slová pre internetovú reklamu. Osvojíš si narábanie s Google Analytics a schvaľovanie a diagnostiku reklám. Ako absolvent kurzu Google Ads zvládneš vytvárať a optimalizovať reklamné kampane pre vyhľadávač Google.
70;Online kurz Google Ads (AdWords) II. Mierne Pokročilý;67;88,4;Marketing, Reklama a Právo;Online kurz Google Ads (AdWords) II. Mierne Pokročilý je určený pre teba, ak ovládaš základy Google Ads a chceš sa naučiť vytvárať kampane na pokročilej úrovni. Naučíme ťa spravovať firemné adresy, prepájať jednotlivé účty a nastavovať geografické zacielenie. Osvojíš si remarketing a jeho základné stratégie. Naučíme ťa pracovať s Ads (AdWords) Editorom a využívať flexibilné ceny. Oboznámime ťa aj s najnovšími funkciami. Ako absolvent online kurzu Google Ads II. Pokročilý hravo zvládneš nastavovať a spravovať zložitejšie kampane.
71;Online kurz Google Ads (AdWords) III. Obsahová Sieť a Remarketing;67;88,4;Marketing, Reklama a Právo;Online kurz Google AdWords III. Obsahová Sieť a Remarketing je pre teba ideálnou voľbou, ak sa chceš naučiť vytvárať efektívne reklamy v Google AdWords. Naučíme ťa cieliť v obsahovej sieti a vyberať vhodné témy. Osvojíš si základné aj pokročilé možnosti nastavenia remarketingu a remarketingové stratégie. Dôkladne ťa oboznámime s plánovačom kampaní a jednotlivými typmi reklám. Ako absolvent kurzu Google AdWords Obsahová Sieť a Remarketing zvládneš zostavovať úspešné remarketingové kampane.
72;Online kurz Google Ads (AdWords) V. Videoreklama;89;117;Marketing, Reklama a Právo;Online kurz Google Ads (AdWords) V. Videoreklama je pre teba vhodný, ak sa chceš naučiť možnosti využívania reklám a inzerovania v službe YouTube. Naučíme ťa reklamy správne zacieliť a vybrať správne formáty reklamy s ohľadom na tvoje ciele. Osvojíš si tvorbu a správu kampane, využitie analytiky a opravu zamietnutých reklám.
73;Online kurz Google Ads (AdWords) VI. Tvorba skriptov a pravidiel;89;117;Marketing, Reklama a Právo;Online kurz Google AdWords VI. Tvorba skriptov a pravidiel je pre teba ideálny, ak sa chceš naučiť pracovať so systémom AdWords na pokročilej úrovni. Oboznámime ťa s API, skladovým systémom a SRM systémom. Naučíme ťa využívať AdWords Editor a obsluhovať viacero účtov a používateľov. Osvojíš si automatizáciu a AdWords skripty. Pokročilé funkcie pre efektívnejšiu prácu budú pre teba samozrejmosťou. Ako absolvent kurzu Google AdWords VI. Tvorba skriptov a pravidiel zvládneš pracovať s AdWords Editorom a pokročilejšími metrikami.
74;Online kurz Google Ads (AdWords) VII. Analýza a Zlepšovanie Kampaní;98;132,6;Marketing, Reklama a Právo;Online kurz Google Ads (AdWords) VII. Analýza a Zlepšovanie Kampaní je pre teba ideálnou voľbou ak sa chceš naučiť maximalizovať zisk, vytvoriť online audit systém s tou istou filozofiou. Naučíme ťa zistiť či má váš Ads (AdWords) účet dobré výsledky alebo je tu priestor zarobiť z vašich kampaní vo vyhľadávacej sieti ešte viac. Teda tu ide o zisk. Audit vám pomôže odhaliť nové príležitosti a nápady na testovanie, ktoré posunú kampane vpred.
75;Online kurz Google Ads Audit a Zlepšovanie Kampaní;119;165,2;Marketing, Reklama a Právo;Online kurz Google Ads Audit a Zlepšovanie Kampaní je pre teba ideálnou voľbou ak sa chceš naučiť maximalizovať zisk, vytvoriť online audit systém s tou istou filozofiou zlepšovania a progresu. Naučíme ťa zistiť či má váš Ads účet dobré výsledky alebo je tu priestor zarobiť z vašich kampaní vo vyhľadávacej a obsahovej sieti ešte viac.
76;Online kurz Google Analytics Audit a Zlepšovanie Analytiky;119;165,2;Marketing, Reklama a Právo;Online kurz Google Analytics Audit a Zlepšovanie Analytiky je určený pre teba, ak máš skúsenosti s Google Analytics. Dozvieš sa všetko od základov inštalácie, cez nastavenia až po interpretáciu dát a prehľadov. Získaš hodnotné informácie o predaji, vyhľadávaní aj zdrojoch návštev. Zlepšíš si vďaka nim tvoj e-shop alebo stránku a dosiahneš svoje obchodné a marketingové ciele.
77;Online kurz Google Analytics Faily a Audit Účtu;119;165,2;Marketing, Reklama a Právo;Online kurz Google Analytics Faily a Audit Účtu je určený pre teba, ak máš skúsenosti s Google Analytics. Osvojíš si najvhodnejšiu konfiguráciu, možnosti vlastných segmentov, filtrov a dashboardov spolu s  pokročilými funkciami merania výkonnosti webu. Naučíme ťa interpretovať zozbierané údaje a využiť ich v marketingu.
78;Online kurz Google Analytics I. Začiatočník;73;96,2;Marketing, Reklama a Právo;Online kurz Google Analytics I. Začiatočník je pre teba ideálny, ak sa chceš naučiť pracovať s webovou analytikou v Google Analytics. Naučíme ťa ako efektívne používať Google Analytics a merať prostredníctvom štatistiky o návštevnosti a používateľoch . Osvojíš si nasadenie Google Analytics aj možnosti merania konverzií a sledovanie udalostí. Správne analýzy sú kľúčom k tvojmu úspechu na internete. Ako absolvent online kurzu Google Analytics zvládneš nakonfigurovať Google Analytics a vyhodnocovať jeho údaje.
79;Online kurz Google Analytics II. Mierne Pokročilý;92;120,9;Marketing, Reklama a Právo;Online kurz Google Analytics II. Mierne Pokročilý je určený pre teba, ak máš skúsenosti s Google Analytics. Alebo si absolvoval kurz Google Analytics I. Začiatočník. Osvojíš si najvhodnejšiu konfiguráciu, možnosti vlastných zásahov a pokročilé funkcie merania výkonnosti webu. Naučíme ťa interpretovať zozbierané údaje a využiť ich v marketingu.
80;Online kurz Google Analytics III. Pokročilý;106;139,2;Marketing, Reklama a Právo;Online kurz Google Analytics III. Pokročilý je určený pre teba, ak máš skúsenosti s Google Analytics, alebo si absolvoval kurz Google Analytics II. Mierne Pokročilý Osvojíš si najvhodnejšiu konfiguráciu, možnosti vlastných segmentov, filtrov a dashboardov spolu s  pokročilými funkciami merania výkonnosti webu. Naučíme ťa interpretovať zozbierané údaje a využiť ich v marketingu.
81;Online kurz Google Apps;44;58,5;Marketing, Reklama a Právo;Online kurz Google Apps je pre teba ideálny, ak sa chceš naučiť efektívne využívať aplikácie Google Apps na vyhľadávanie a komunikáciu. Naučíme ťa efektívne vyhľadávať informácie potrebné na študijné či pracovné účely. Osvojíš si prácu so službou Gmail na posielanie e-mailov, jej nastavenia či rozličné funkcie. Zvládneš často zdieľať dokumenty na webe. Tiež ťa naučíme sa pracovať so službou Google Earth, či službou Maps a inými službami. Ako absolvent kurzu Google Apps zvládneš nájsť a zdieľať obrázky, knihy či web stránky.
82;Online kurz Google Apps Script;138;180,7;Programovacie Jazyky;Online kurz Google Apps Script ťa naučí ako automatizovať prácu s Google Workspace, Google Suite a Google Cloud. Ukážeme tu všetky možnosti automatizácie pracovných činností pomocou skriptov a Google aplikáciách. Naučíme ťa hromadne generovať dokumenty ako zmluvy či faktúry, odosielať personalizované emaily alebo prevziať údaje z iných webových stránok do tabuľky.
83;Online kurz Google Workspace - Dokumenty (Google Docs);119;165,2;Kancelárske Balíky;Online kurz Google Workspace - Dokumenty (Google Docs) je určený pre teba, ak sa chceš naučiť pracovať online s dokumentami a spolupracovať pri ich vytváraní s viacerými používateľmi. Naučíš sa formátovať dokumenty, vkladať obrázky, tabuľky a ďalší obsah. Zistíš aké sú možnosti práce s aplikáciami Google Dokumenty v porovnaní s Microsoft Word.
84;Online kurz Google Workspace - Prezentácie (Google Slides);119;165,2;Kancelárske Balíky;Online kurz Google Workspace - Prezentácie (Google Slides) je pre Teba vhodný zvlášť teraz v dobe online schôdzok. Je dôležité mať nástroj, na ktorý sa môžete spoľahnúť. Naučíš sa zdieľať s kolegami, spoločné vytvárať prezentácie, zvuky, videa. Začneš vytvárať prezentácie spolu s tabuľkami a obrázkami ako profesionál.
85;Online kurz Google Workspace - Tabuľky (Google Sheets);119;165,2;Kancelárske Balíky;Na online kurze Google Workspace - Google Tabuľky (Google Sheets) sa naučíš všetko, čo potrebuješ pre hladkú prácu v tabuľkách Google. Pretože tabuľky Google majú samozrejme špecifické ovládanie, ukážeme si základné funkcie postupne prejdeme až k pokročilým funkciám. Naučíš sa využívať výhody online tabuliek Google Sheets oproti Microsoft Excel.
86;Online kurz Groovy I. Začiatočník;97;128;Programovacie Jazyky;Online kurz Groovy I. Začiatočník je pre teba ideálnym štartom, ak sa chceš vyznať v objektovo orientovanom programovacom jazyku Groovy. Oboznámime ťa so základmi tohto jazyka, prevedieme ťa tiež inštaláciou a dokumentáciou. Ukážeme ti, ako využívať Groovy knižnicu a rôzne dátové typy. Ako absolvent online kurzu Groovy I. Začiatočník zvládneš pracovať s Groovy developer a ecosystem, a vykonávať testovanie.
